008_George_Bond,"Amante de los autos y la tecnología"
123fokiu,"Inspector de billeteras.Maestro Pokémon.Testigo de Gokú."
12hores666,""
12monicagpe,""
1396Marin,""
13_peralta,"no_description"
13Micte,"En busca de nuevos caminos..."
13Pepelop,"lo importante  no es LLEGAR... si no MANTENERSE...como ching no.!!!!"
14FAlonso,"#Tuxtlanoserinde"
15addeba65f84f1,""
1612Missa,"educate your ears...!"
16_patychavez,"Amo la música,mi trabajo, mi familia, mis amigos, la experiencia que he colectado en la vida ."
17210373e0f1424,""
17603736,"Exchange student mowing Grandpa's rawn for free. I rearry hate this stupid town."
17Alba48,""
17Chrisc,"Carpe Diem ●Life is a journey, do not expect to arrive ●"
18de_cada10,"18 de cada 10 personas tienen doble personalidad,  el otro aún no entiende las voces en su cabeza..."
190_any,"Algo de humor y de romanticismo, algo así como una mezcla exacta para valer madres. Posgrado y doctorado en cagarla en situaciones extremas."
1929ximena,"If you're talking behind my back you're in a good position to kiss my ass.Fotos tomadas con un chicharrón (Motorola)"
1932beta,""
1951franciscov2,""
1956_kaaba,"Hay que decir lo que uno piensa, aunque la verdad sea cruel, hay que sumar a la sociedad y no me gusta que me vean la cara"
1962rafa,"Arquitecto irreverente,disfruto cada momento de mi vida haciendo lo que me gusta, conocer gente y lugares https://t.co/jI5rkCMsKN de PUMAS de la UNAM."
1962willis,""
19660203,"If you cant make me laugh,think or c*m, F**K OFF!!!"
1968Vazher,""
1970Ernesto,""
1972chato,""
1986Nez,"Psicólogo por la UNAM, deportista y amante de los animales."
19elistar,"Entrepeneur | Environmental Engineer| Science Lover | Founder of Grupo Valiant"
19Imhr,""
19Marinita19,""
1_rodolmo,"Soy Arquitecto por la UNAM, me gusta hacer cosas buenas por mi país y mi gente. Padre de familia y entregado al amor."
1Albertg,""
1alejandrojuare,"no_description"
1b6053832c09461,""
1belibel,""
1colombiamivida,"URIBISTA A MILLÓN"
1Danielacosta,""
1demente1,""
1egumaqroll,"Cambiemos el lenguaje; que la puta que me pario venga del PUTARE, así la puta que me pario me insufflare Amor y respeto por el organismo madre tierra"
1FILAmx,"Portal de espectáculos multimedia donde encontrarás la información más reciente de tus artistas favoritos."
1jeanp,"Abogado. Anticorrupción. Gobierno. Contencioso Administrativo."
1Miiguuel,""
1pantonio,"NUNCA TRATES DE ENSEÑAR A CANTAR A UN CERDO, PORQUE TU PIERDES EL TIEMPO , Y AL CERDO LO MOLESTAS   (proverbio ruso)  Trato de nunca molestar a los animales"
1r35p,"opinions: my own // Your responsibility to be ready for the fight never ends"
1RJoseph,"Originario del D.F."
2000Useche,""
2011carlosale,""
2012Genius,""
206d20d87a4e4d2,""
20mMexico,"Somos la edición mexicana de @20m y queremos darte información cercana y de calidad. Nos interesa mucho tu opinión. También en FB: http://t.co/43v68XZm3Z"
215_carlitos,"no_description"
21yssus21,"Uprising…"
221179E,""
224Oriana,"Quiero ejercer mi derecho a opinar. Que viva la tecnologia!!!"
23ALZAT,"Gestora Ambiental- Perteneciente al Consejo de Patrimonio"
23Botas,"La música es mi vida"
23snckers,"♥Las mejores cosas suceden cuando menos las esperas!  Siempre sonriendo, por todo lo malo, siempre llega algo bueno ♥0_o ♥"
2407Eduardo,""
241171,"Guadalajara, Jalisco."
24daniel76,""
24h_tve,"Sigue la información al minuto en el Canal 24 horas y en http://t.co/lw6RKTkJOr"
2601joe,"En busqueda de un país mas justo."
2602Lili,"Fan del humor de todos los colores sobre todo del negro , sarcástica  y amante de los animales"
27_june70,""
27Ibarr,""
2847_33,""
288_Maria,"Cristiana, Catolica, provida. Amante de la nat, la lectura, la musica y todo lo q alimente el espiritu. Me interesa la ecologia y la geopolitica."
28_blueedgar,"#ResistenciaDeOdio"
28Carolbernal,"Abogada especializada en derecho corporativo... en busqueda de libertad economica y crecimiento profesional. COLOMBIA #siganmelosbuenos"
28defcon,"Juan 1:1 En el principio era el Verbo, y el Verbo era con Dios, y el Verbo era Dios."
2AlfredGuillen,""
2gestram,""
2itstar,"Everything in my own immediate experience supports my deep belief that I am the absolute center of the universe"
2joticas,""
2meba,""
2shy,"Dueño absoluto de los Internets y de los Internets de las cosas."
2tbspnebula,""
3162362223Gomez,""
335iMSport,"Ciudadano, 100% Uribista. ¡Uribe, hoy más que nunca!"
35loeza,""
36Jhfm,""
38edfe6e91894c6,""
395Juliag,""
3b2c8f42c471486,""
3dgarito,"Un Caballero andante que se echa sobre sus hombros la tarea de hacer menos injusto, libre y próspero al mundo."
3dWolfenstein,"Ingeniero por convicción, abogado de profesión,  estudiante de la especialidad en Derecho Constitucional.  Disfrutar de las alegrías de la vida."
3eagleMaria,"Sonríe a la vida si quieres que ella te devuelva la sonrisa"
3eIa,"Stand up for what's right, even if you're standing alone."
3GsGmoGGlez,""
3l_Gavilan,"Usted disculpe...soy el resultado de 500 años de mestizaje...y ya no sé si soy chilango, o de Oaxaca; mi ❤@SritaOriental    #TZM"
3lo_cota,""
3Sinue3,"Basketball player... need to know anything else???"
3Ttelemedellin,"Hablamos de tecnología, tendencias redes por la vida y de todo aquello que nos apasiona. Todos bienvenidos"
3veces3,"23. Ex Economísta, prox mercadólogo y diseñador, FE y FCA UNAM...Graff,StreetArt, Oasis, NGHFB, MadFerIt, Horus ☥"
40276Jgp,""
40diasprovida,"Twitter de 40 días por la vida Coyoacán, vigilia por la vida afuera del abortorio de Miguel Ángel de Quevedo # 1098, Col. Parque San Andrés. +5215521897327"
40diasxlavidamx,"40 Días por la Vida México. Campaña mundial de oración a favor de la vida, Activos en 25 países y 540 ciudades."
4142Lo,""
42c61145b0504f5,""
42Pumita,""
44d3d78c5aac44b,""
451Rene,""
45pedromartinez,"Pedro Martinez 3x Cy Young Award Winner 2004 World Series Champion 2015 Hall of Fame"
45PedroMartinez,"Pedro Martinez 3x Cy Young Award Winner 2004 World Series Champion 2015 Hall of Fame"
46df9b6f511343f,""
4987Luis,"LITIGANTE CANDIDATO AL SENADO DE LA  REPÚBLICA  2014-2018"
4d9608fd4224438,""
4life_julio,"life's great ."
4N770N10,""
4NoticiasMXP,"Las noticias de México en 4MPX en línea"
4noticiasmxp,"Las noticias de México en 4MPX en línea"
4NoticiasMX…,"no_description"
4ntiheroe,"Happily married, Friend, Jesus freak, Graphic/Web Designer, Socialist, Trance lover, Photographer, Geek, WindowsPhone Addict, Speaker, Mentor."
4rk1D3u5,""
52bluesband,"izquierdista por la UNAM, bluessero y seguidor permanente de la tragicomedia mexicana (tendremos fobaproa por 70 años)"
535Pepe,""
55e922bb986e451,""
5_mondra,"Me gusta mucho la naturaleza, soy Arquitecta de profesión, me gusta la política y la música"
5al0m3d1n4,"Meh..."
5antaMerlina,"Alegre, sincera, bromista y sarcástica, en contra de las injusticias. Apartidista, apoyando comunidad tuitera. Welcome beautiful people in the world, hugs."
5c4a1180ef9e428,""
5cc604386ca84ea,"el paisa"
5idiots4monkeys,"Si no eres One Direction no me importas. | Louis Tomlinson is my bae. ✨ | Larry es real y te callas. | 4/Justice Crew. ❤️ | Twins Dobre | Zquad."
5msolano,"no_description"
5RAZ0N,"A punto de quedarme solo.Tal vez ese sea el premio. (Librepensador como Cabral). Admiro a la inteligencia como único camino capaz de acallar a la violencia"
600mvp,""
6120n312,""
632de8fb02ae471,"Trabajador al maximo. happy my love forever."
63Marin,"una vez salí en NatGeo :) ... una wba en el amor pero que no deja de intentarlo."
63Yzabel,""
6401Rangely,""
65andres1,"Venezolano trabajador anticomunista amante de la libertad y de la buena vida y de mi querido pais (VENEZUELA)"
6648fapb,""
68Kuki,""
69_tate,""
6AMCaracol,"El espacio más escuchado de la radio en Colombia. De lunes a viernes desde las 4 de la mañana 6AM Hoy por Hoy las noticias como son. Dirige Darío Arizmendi"
6cb20e8370c840f,""
6ccc5db40d6845c,""
6f1daecd356647b,""
6k2familygroup,"Un espacio dedicado a los amantes y seguidores de la marca Seat y en especial de este hermoso ejemplar denominado 6K2."
7077L,"duele tanto el dolor"
70torinoman,"LEFTIST POLITICS: Advancing causes for workers, the poor, human rights, the environment. Stop neo-colonialism"
71carm28,"Lic. Ciencias Políticas y Administración Pública; Lic. Derecho; Columnista del Periódico Voz e Imagen de Chiapas y de la Revista Electrónica Flor y Latigo"
750bc62213714f3,""
758Carlos,"hombre maduro caliente cogelon corneador busco chicas y parejas para trio o encuentros de mucho sexo y placer absoluta discreción algún cornudo disponible"
76GLORIAROJAS,""
76Nanye,"Incomprendida, Irremediable, Demasiado honesta, Enamorada de la vida y de @FannySlsa Compañera de vida"
777_alma,""
7784Rojas,""
77Andresito,""
77Gennaro,"no_description"
787Cap9Phoenix,"no_description"
78ana91,"no_description"
7_andreapz,"adicta a las películas y a los cómics"
7_boom,"Un medio de @BrutalContent"
7_Roma_,""
7MarcoFidelR,"CONCEJAL DE LA FAMILIA: Activista defensor de la #Vida, la #Familia y los #Valores. #OrgullosamenteCristiano"
7medina,"Love to win. Hate to lose."
80Mgo,"persona emprendedora   amante de la naturaleza y de nuestro país México"
81octanos,""
82_chiva,"Apasionado del rebaño, en espera a que regresen las epocas de gloria para el equipo."
846825c98a2a49d,"Mi Vida @mariobautista_ ♥♥♥"
851ff1faeefb45a,""
85_coco,"no_description"
85_osorio,""
85Pitufina,"no_description"
881RedFM,"La Catedral de las Noticias con La Red de Radio Red. Además, música en inglés de los 80s, 90s, 2000 y los éxitos más importantes del momento."
889romo,"Soy conductor de Radio y hago Voz Institucional. Me gustan la Bici, el Baseball y el Tenis. Al aire de 16 a 19 horas Grupo ACIR"
89_chaparro,""
8adeltadriana,""
8ozCafe,""
8pmx,"Dios, Mujer, Diseño y Café se escriben con mayúscula / God, Women, Design & Coffee are capitalized."
9000x,"Cordero de Dios - Solo para minorías"
90Eosiodelgado,""
918AngelOfDeath,""
9191Alan,"23. Red Sox. Diablos Rojos del México/ Bengals.Cardinals/ Juventus. Pumas/ Autos!!. Gastrónomo por elección, procurador de lo retórico, socarrón de nacimiento"
91Davo,""
94_gohan,"Asistente Administrativo del Departamento de Producción Animal CUCBA"
96a2dd7ba56c44c,""
985noticias,"Productor de la 1a Emisión Informativa en Reporte 98.5FM"
9_victorinoo,"Hola"
9chuytorres,""
9f626c9f7df64f7,"Esperando que aquel ruido les haga reaccionar"
@AndresEstevezMx,"Información y Noticias de Querétaro"
_3spirituSanto,"La palomita buena onda... Director de Comunicación Social en El Cielo Inc. Mascota de @Dios_Padre. Tambien en Periscope"
____huldra,"no_description"
__alanavila,"Un caleidoscopio es mi corazón"
__AleO__,"Queretana, Odontología UAQ, R1 DEPeI UNAM Ortodoncia"
__angelott__,""
__Edouard,"Soy cosa seria."
__Emm__,"Buscando el pinche instructivo."
__Gloria____,"Que el Señor te responda en el día aciago y te proteja el Nombre del Dios de Jacob. Que del Santuario te envíe socorro y desde Sión te venga su auxilio.Sal 20:2"
__HuGo26__,"Para esto te pone la vida tantas pruebas!!!fortaleza y coraje para afrontarlo!!!"
_aannddyy_,""
_abrahamjimenz,"Let's do this SHIT / What am I doing here?"
_adaralopez,"18 • We are the reckless, we are the wild youth. Chasing pictures of our futures."
_adolfomtz,"Persona nefasta , Tigre de Corazon, Regio de hueso colorado, Clon de Galatzia"
_AdrianaHC,""
_al3j0,""
_aldovl,"Live another day, climb a little higher, find another reason to stay."
_ale_mr_,":) Mexico FCA UNAM La mejor parte del presente es que hay otro mañana El esplendoroso presente."
_AleDelgadillo,"Estudié comunicación y estoy aprendiendo programación. Curiosa por la Tecnología. Me gano la vida produciendo audiovisuales en @Film4TheMasses"
_alejandracanto,"no_description"
_Alejandro_Rmz,"no_description"
_alexitimiko,""
_alexpradap,""
_aminabath,"actor y comunicologo que gusta de las artes y la buena vida, activista y librepensador"
_AnaCalleja,""
_anamendez,""
_AnaSierraA,"Bogotá, Colombia. 19."
_andremarin,"futuro estudiante de medicina ❤️"
_AndresC21,"no_description"
_Andryxxx,"And if you have a problem with my ass...then you can kiss it."
_animalejo,""
_annalourdes,""
_AntonioGR,"Personaje de interesante mezcla: Chilango, Asturiano, kabbalista, ingeniero en alimentos, neoyorkino en alguna vida pasada y fan del peanut butter."
_Arbola,"Instagram: MEL_ISSAGUERRA"
_areelyyh,"Laughter is timeless, imagination has no age, and dreams are forever. –Walt Disney ♡♥"
_Arinca,"Todo en ésta cuenta es inventado pero casi todo ha sucedido. Ψ"
_armandoleyvam,""
_avaladez,"Sólo sé que no sé nada"
_azular,"ArtDirector&Owner. @EstudioAutomata"
_Baldespino_,"♥《22-05-15》♥ 《Bullysterica》《Zuricata》《Polinesia》 《Amante de los gatos》《PDC》《Batinovia》♥ Mi instagram KARLABALDESPINO"
_bangbanguk,"× yoongi, yongguk & jonghyun × [ khh ] • motto; do what you like and love what you do • what a time to be alive"
_caesparza,"no_description"
_CalzonesRotos,""
_CapitalDF,"Radiodifusora de Capital Media en el 830 de AM en la ciudad de México. Sigue nuestra transmisión en vivo desde nuestra página de Internet."
_careculo,"No me gusta besarte bajo la lluvia porque no quiero que te mojes dos veces./Beatmaker/Fixero/Humor Morenito/Soñador a escondidas"
_carlatststs,"Que la fuerza te acompañe... ☝655321"
_carlosfox,"Pretendo ser historiador. Oriundo de la ciudad de los muéganos."
_CharlieCrow,"Entre el péndulo y el panóptico."
_claudiamdza,"XIV-II-MMXV ♡ Instagram: _claudiamendoza Snap: yad.mg"
_cris_vazquez_,"Be funny, Be unique, Be YOU. CDMX. CONTACTO: cristinavazquez2@icloud.com"
_CristobalAG,"❤️ - @Stephanie_31rr"
_cruz__,"Aca le tenemos de suadero, maciza, de seso, de lo que guste güero/a."
_CuspidE_N,"no_description"
_DanielTostado,"Snapchat: daniel_t321"
_denial,"daniel torres of earthyou have the ability to be awkward"
_Designer_Girll,"Estudiante de Diseño de Espacios y Escenarios, amante de la naturaleza, Vegetariana e Hincha de Millonarios"
_DianaDiaz_,"“Love me or hate me, both are in my favor…If you love me, I'll always be in your heart…If you hate me, I'll always be in your mind.”"
_diancaaa,"yep thats me"
_Dominoo,"Make me feel."
_eabc,"Padre en formación. Compañero decidido. Músico arrepentido. Médico convencido."
_edrod,"Justicia con compasión. Libertad con responsabilidad y prudencia. Afecto con raciocinio."
_eduardo33,"Tijuanense,.Norteño..Futbol.Unico Equipo CHIVAS⚽⚽.ROCK y Bla bla bla"
_El_Memo,"Agrónomo disfuncional, investigador frustrado, víctima del sistema (desempleado)."
_el_pelon,"Gerente de ventas empresa medimex todo en implantes de ortopedia"
_ElAlebrije,"Es una página de noticias creada por jóvenes Periodistas Digitales.http://t.co/EO8TbXeRNdhttp://t.co/7PwavDmkHxhttp://t.co/9AD4B82k2C"
_ElBarrabas,"¡Hola! Me llamo Alejandro. Soy un personaje que te va hacer olvidar todos tus problemas por medio de la risa #RaccoonFive / Contacto:Elbarrabas@raccoonfive.com"
_elhablador,"Cine, Televisión, Entretenimiento, Nuevos Medios. Reseñas, críticas y adelantos. Para colaborar pregunta aquí."
_ElizabethOtero,"Maybe it's not blood bonds that make us a family. Perhaps it's the people who know our secrets, and love us anyway. So we can finally be ourselves."
_ElProfesor,"Hincha fiel de MILLONARIOS FÚTBOL CLUB, Estudio Licenciatura en Humanidades e Idiomas. Futuro Doctor en Lingüística Española. Delantero en @LaBandaSector12"
_EnConcreto,"La noticia #EnConcreto"
_encontacto,"Mantente informado por el 97.7 FM  de 6:50-9:00 y de 13:00-15:00 y por el 96.9 FM de 18:00-20:00 hrs. Tels: 8185388 y 018008493945"
_EnGdl,"Damos RT a las cosas que necesitas al momento. contacto/promoción: hola@guadalajarapp.com"
_enlinea,"NOTICIAS•PROMOMEDIOS LEÓN.      * 6:55 am LG 95.5 FM con @antoniorochape * 2:00 pm BLU 92.3 FM con @irisbanuelos •Circuito Amarilis #122 Col. Villas del Juncal•"
_Enrique121,"Vivo al dia"
_EstebanH,"Radio Host en @BluRadioCo • #Catholic • Imagen @MinSaludCol para TV"
_euunice,"Hey girl, open your walls, play with your dolls"
_E…,"no_description"
_FabioMateus_,"Santafereño, integrante de la @FamiliaDelLeon, bogotano, colombiano, abogado, abstemio, vegetariano, fanático de la salsa y los boleros. Soy feliz así."
_FabyPerez,""
_Froo,"Me mareo a partir de la séptima pirouette. Cofundador @bitshakemx Instagram: heyfro"
_gabonavarro,"Amante de la cerveza y dueño de mi propia vida."
_gardavid,"Respecting the rights of others is peace."
_GeorgeOR,"Estudiante LAE @Tec_CCM Aficionado de @PumasMX , @ChelseaFC y @FCBarcelona_es"
_GermanMendoza,":p"
_Gustragos_,""
_hackal,"en vuelo regular."
_HarryYankee,"12/3/13 @belindapop 4/4/13 @SaraCorraless 8/8/14 @barbaraderegil 10/7/15 @barbaraig 9/8/15 @krolinatm10 16/8/15 @nataliabetancur 28/09/13 Joana Mtz"
_Hugo_Rdz_,"From zero to hero ____ At the end, we will all be judged by the courage of our hearts"
_il_Consigliere,"La Insoportable Levedad de Twittear              ☣Cuidado ☣ Léxico Tóxico☣"
_IngridPech,""
_isai_h,""
_IsaJaramillo,"#Justicia❢ y no caridad lo que necesita el mundo. Toda manifestación de vida, merece valor, atención y respeto. Prefiero a las personas humildes y sencillas. ღッ"
_Ivoneee,"HOY NO TUITEO MAÑAN SI. ❤.❤ MALAbogada"
_j4mp,"| Ing. Comunicaciones y Electrónica | #IPN | #SAP #Basis Jr | itCARE | Juventus | Futbol-Cine |"
_JAMILI_,"23. Futura Lic. N. I. Alegre, Americanista, Cinéfila, Odio las Mentiras, Me Gusta la Coca-Cola, la Buena Música, los Autos, The Walking Dead y Hora de Aventura."
_Janito_,"..."
_javierguz,"no_description"
_JesseMtz,"Lic en Comunicación. | Contrataciones: oscar.mtzm@hotmail.com / En constante movimiento."
_jessicapoot,"Luisito Comunica 22.11.14❤, Vegettita 25.06.15 y 28.07.15❤, Scarcuchi 4.06.15❤2.12.15 Justin❤Wigetta es real❤"
_Jetto_,""
_jgomez,"Políticamente incorrecto por las razones correctas."
_jgsg,"tú vives como yo vivo, yo vivo abusando"
_Jhordik,"#CFAmerica Cuenta 100%Futbolera"
_jim2010,"Follow me and I follow you!!!"
_jimenezpaco,""
_JohanMiguel,"Enjoying the Soundtrack of Life"
_Jonathan_A_Mtz,""
_jorgealvarezmx,"Empecinado emprendedor mexicano que no se cansa de intentarla vez tras vez, es mi destino. #Kabbalah #CowboysNation #NFL #Barça #F1 #Auriazul #Condores #UNAM"
_jorgeat,"#AwfulPersonMe SociopataGeneration X,  Mx Eclectic Geek. http://t.co/XvldzUQ5Yv"
_juaniwiris,"Lic. En Derecho."
_KarlaGasca,"Mama de una princesa, economista, loca pensante! Estrategia Nacional de Energias Renovables. SENER. Lugar favorito: BCS!!! ☀️"
_Karlita_R,"Líder de Proyectos de Gestión e Implementacion de Tecnologías de Información ERP"
_kiwii7,"#RAV #SalvaTuVoto Mientras Castro dicte las jugadas,Maduro en Miraflores y no tengamos 1 #OposicionAutentica NO HEMOS GANADO"
_kturizo,"Diseñadora Gráfica.Amante de la vida, animales y naturaleza. Apasionada por el arte y la adrenalina"
_LaMontimaniac,"no_description"
_LaPista_,"Periódico de Ciudad Victoria Tamaulipas, recuerda que HOY LO VES EN LA PISTA, MAÑANA SERÁ HISTORIA"
_LeBonVivant_,"I'm an International Lawyer et un bon vivant..."
_LizMiranda,"Comunicóloga, amante de la radio, reportera y editora coleccionista de experiencias."
_lizmorenita,"Comunicóloga, soñadora, te invito a leerme, quiero un mundo mejor, México."
_lonely_owl,""
_maklo,"eMarketer & Entrepreneur | Gamer | Music Lover | Audiophile | Soft Geek | Daydreamer | Amateur Podcaster @ Dale Start | Lover | Thinker & Sagacious"
_malenast,"Estudiante"
_MarciaPerea,"19. Arquitecta en proceso. Sometimes you make me a better person, sometimes you bring out the worst."
_mariaana7,"Every battle is won before it is fought."
_MarioPvP,"no_description"
_marleneee30,"amo los libros, la danza, la comida, los paisajes,las fotos, y aprecio acciones de un corazón fiel.!"
_martinmoreno,"Columnista en SinEmbargoMX. Reporte 98.5 FM. El caso Wallace. Paulette, lo que no se dijo. Abuso del poder en México. Demonios del sindicalismo. Necaxista."
_MattIshida,"Argentino, Abogado amo el DF y Tv Azteca sobre todo Hechos AM, le voy al Leon Real Madrid y Seleccion Argentina"
_maurin16,""
_Mayra_Garcia,"Luchar para vivir o vivir para luchar. #ImagineDragons  #TVD  #Delena #PLL . La mejor manera de salir de la realidad leer un libro. #imperfect  #NT"
_medicenbob,"Me gusta el chocolate con crema de cacahuate. I'm not a Pearl, not yet a Raja. Taken ♥ 05/08/15"
_mgonza,"AQUI CON EL PAJARITO #MeManifiestoRodando #MejorEnBici #1.50"
_Miguel_ngel_,"Ingeniero Administrador en Sistemas, 24 años y soy de Monterrey N.L"
_milara_,""
_Misstatto,"Se Buscan Locos, el amor de mi vida @chuyolan, no se tomen nada serio ni personal"
_mon_cherry_,"DFctuosa de nacimiento, soñadora, histriónica, guerrera de las buenas causas, amante del buen comer; siempre encuentro una razón para sonreirle a la vida."
_monseayalar,""
_monyl_,""
_MrMamon_,"HATER!"
_MujerDeNadie,"Uso labial rojo para dejar mi marca... las uñas rojas, solo son por putería."
_nachote,"Géminis/27 años/Música: Electro-House-Trance-Psycho/Cine: Suspenso-Acción/Fotografía/Inglés/VODKA-RON/Dormir/GYM"
_NoEresTu_,"CM Musical // Editora de Contenido en @lamusiqueradio /// Promotora de Ventas en @GatustroBodega // Tripofóbica // @FCBayern #Bayern"
_normadiazm,""
_ortizing,"Say Hello to My Little Friend !!!!!!!!"
_PaoRocks,"Siempre veo el vaso medio lleno. La vacía soy yo."
_pauuu,"21 • PUPian • Engineer at the making • IG: @_pauchan"
_pispirispi,"Déjeme ser. Tinto mata Coca Cola."
_Podez_,""
_Queva,"Deportivo Cali toda la puta vida."
_Ramario_,"Extra librorum nulla sapientia #LeeIgnoraMenos Ignore less each day. #Nature #environment #animals http://t.co/v7Vb3HAbG4 http://t.co/abzymC8Srm"
_Ranu,"Alegre, sociable con el gusto de poder servir y ayudar siempre. Arriba Monterrey! Y mis Rayados!"
_rastamandita,"Acaricia mi ensueño, el suave murmuro de tu suspirar."
_razez,"ESTOY COMPLETAMENTE LOCO!!!! pero... ¿Sabías que las mejores personas lo están?"
_remotecontrol_,"Vivamos HOY, ya mañana vemos que pedo."
_RevistaCambio,""
_RocioJasso,"Lo que logras de pie, agradecelo de rodillas  #Blessed"
_Ruisu,"Vingt-deux. Developer. Cafeinómano. Écrivain à mi-temps. Jedi Knight. Startupero.Je laisse mon autobiography dans mes écrits. Do you want to know me? Readme at"
_Sadnie_,"Y si me fijara mas en lo que dicen de mi, terminaría loca..(Si ya me conocen, para que me dejan sola)"
_sandrasandoval,"Presentadora de noticias en MultimediosTv Telediario Matutino, Mundo Fox en la Frontera y Milenio Noticias."
_Sarg93,"Forget Everything And Ride"
_SebasabeS_,"Into The Blue... #TeamG&G."
_siriri_,""
_sofijmz,"Instagram: sofijimz"
_soloandie,"no_description"
_soychoy,"no_description"
_SoyJovs,"Soy como quiero ser."
_SoyLo,"no_description"
_Spaceman13,"no_description"
_splach,"Claro que le daría la vuelta al  mundo, pero no en 80 días. #México"
_SteevenOrozco,"no_description"
_TataOrtiz,""
_taxista_regio_,"Apoyando a la gente d #MtyFollow en lo q pueda en información vial. turística dl estado d #NL me gusta el cabrito dl @PipiripauGrill & @pipiritruck las tortas"
_teban__,"No soy ni mejor, ni peor, simplemente.... Diferente."
_tecnodroides,"Fotografo, amante de la tecnologia. Desde México los mejores reviews de aplicaciones, gadgets y dispositivos!! ! Contacto:rockm3m0.rko@gmail.com"
_Tenayuco,"AT&T"
_thearchitector,"A veces dibujo en @croquisDF."
_trinsky,"Creo en un sociedades que se construyen con la participación equitativa de toda su gente. Soy un salmón que nada contra corriente."
_TripleW,"¡El programa en donde el escucha toma la palabra! Democratizando el medio con @TapiaFernanda de 1 a 3 pm de lunes a viernes por @WRadiomexico"
_TwoEqualsThree,"Una vez conseguí que una mujer me diera la razón. Escribo notas reales en @ElDeforma"
_uber_toaster_,""
_ValentinaMF,"VLV'S4e ✋/Patinaje de Velocidad. Snapchat: valentinaf25."
_vamostodavia,"Apasionado por la publicidad. Independiente Santa Fe #VamosTodavía"
_VisionOptica,""
_Ximena_Rosas_,"no_description"
_Y0A_,"La vida se cuenta en canciones, momentos, frases, por eso no me falta música,cámara e inspiración. •PMP®-Esp.Gerencia Proyectos-Msc Dir Marketing-Ing.Sistemas•"
_Yazmindiaz,""
_Yexua_,"Guitarrista de la banda Generación de Fuego. Apisonado por Dios, inspirado por Dios, comprado a precio de sangre. Vivo por aquel que primero me amo. JESUCRISTO."
_ymaa,"17 // LA"
_yo_merengues,"Tienen éxito porque creen que pueden"
_YoOpino,""
a0d163887562402,""
a1034a93696f41d,"no_description"
a20_fernanda,"•Bautister• ✨3/12/14✨ Best Day Of My Life"
a2gccg,""
a39903bf614a4ed,"#behappy"
a7208,""
a94686a554ec4e6,""
a9lara,""
A_A_R_O_N_E,"La Distancia Es Lo De Menos"
a_aguilerarmz,"Abogada,diputada local, esposa y ama de casa.Siempre al servicio de #Aguascalientes con trabajo honesto,experiencia y resultados."
A_akarenbar3,"Hoy seré mas que tierna :)"
A_Aldrette,"Director de los Programas de Liderazgo Anáhuac. #SomosAnáhuac. Apasionado de la educación. Filósofo y MBA. Amo a @paolamoye1 y me gusta hacer bici de montaña."
A_CaicedoR,"Dios está con el ejército de mejor artilleria."
A_corts,""
A_dex_1,""
a_garcia11,""
